11:31:08.836 -> inactive,58,574
11:31:09.065 -> inactive,59,574
11:31:09.983 -> inactive,60,575
11:31:12.744 -> active,105,rewards,10,578
11:31:14.492 -> active,106,rewards,10,580
11:31:15.781 -> pre-trials,37;
11:31:18.809 -> GO trials,18;
11:31:20.468 -> active,107,rewards,11,586
11:31:30.556 -> pre-trials,38;
11:31:32.767 -> active,108,premature,20,598
11:31:35.946 -> active,109,rewards,11,601
11:31:39.267 -> active,110,rewards,11,605
11:31:42.726 -> active,111,rewards,11,608
11:31:42.818 -> pre-trials,39;
11:31:43.186 -> active,112,premature,21,608
11:31:46.184 -> inactive,61,611
11:31:49.225 -> active,113,rewards,11,614
11:31:49.272 -> active,114,rewards,11,615
11:31:53.230 -> pre-trials,40;
11:31:53.367 -> active,115,premature,22,619
11:32:03.407 -> pre-trials,41;
11:32:06.856 -> inactive,62,632
11:32:09.438 -> GO trials,19;
11:32:12.479 -> active,116,rewards,12,638
11:32:12.894 -> active,117,rewards,12,638
11:32:22.600 -> pre-trials,42;
11:32:28.447 -> active,118,premature,23,654
11:32:32.756 -> inactive,63,658
11:32:35.192 -> active,119,rewards,12,660
11:32:35.284 -> active,120,rewards,12,660
11:32:36.616 -> active,121,rewards,12,662
11:32:38.457 -> pre-trials,43;
11:32:39.881 -> inactive,64,665
11:32:41.996 -> active,122,premature,24,667
11:32:43.882 -> inactive,65,669
11:32:44.111 -> inactive,66,669
11:32:44.204 -> inactive,67,669
11:32:44.619 -> inactive,68,670
11:32:47.568 -> active,123,rewards,12,673
11:32:47.985 -> active,124,rewards,12,673
11:32:52.045 -> pre-trials,44;
11:32:52.874 -> active,125,premature,25,678
11:32:54.494 -> inactive,69,680
11:32:54.771 -> inactive,70,680
11:32:56.337 -> active,126,rewards,12,681
11:32:56.429 -> active,127,rewards,12,682
11:33:02.924 -> pre-trials,45;
11:33:03.796 -> active,128,premature,26,689
11:33:13.829 -> pre-trials,46;
11:33:16.815 -> GO trials,20;
11:33:19.994 -> active,129,rewards,13,705
11:33:30.077 -> pre-trials,47;
11:33:34.631 -> active,130,premature,27,720
11:33:39.139 -> active,131,rewards,13,724
11:33:42.088 -> active,132,rewards,13,727
11:33:44.663 -> pre-trials,48;
11:33:48.121 -> active,133,premature,28,733
11:33:48.954 -> active,134,rewards,13,734
11:33:49.368 -> active,135,rewards,13,734
11:33:49.643 -> active,136,rewards,13,735
11:33:50.378 -> active,137,rewards,13,735
11:33:50.378 -> active,138,rewards,13,735
11:33:58.152 -> pre-trials,49;
11:33:59.439 -> active,139,premature,29,744
11:33:59.577 -> active,140,rewards,13,745
11:34:09.472 -> pre-trials,50;
11:34:15.224 -> inactive,71,760
11:34:18.168 -> inactive,72,763
11:34:18.491 -> GO trials,21;
11:34:21.897 -> active,141,rewards,14,767
11:34:32.023 -> pre-trials,51;
11:34:37.683 -> inactive,73,783
11:34:38.051 -> GO trials,22;
11:34:38.648 -> inactive,74,784
11:34:43.063 -> omissions,8;
11:34:46.462 -> active,142,rewards,14,791
11:34:49.454 -> active,143,rewards,14,794
11:34:53.093 -> pre-trials,52;
11:34:56.121 -> active,144,premature,30,801
11:35:01.780 -> inactive,75,807
11:35:04.630 -> active,145,rewards,14,810
11:35:06.152 -> pre-trials,53;
11:35:11.711 -> inactive,76,817
11:35:12.171 -> inactive,77,817
11:35:15.209 -> GO trials,23;
11:35:15.898 -> active,146,rewards,15,821
11:35:16.173 -> active,147,rewards,15,821
11:35:16.310 -> active,148,rewards,15,821
11:35:16.403 -> active,149,rewards,15,821
11:35:16.496 -> active,150,rewards,15,821
11:35:25.990 -> pre-trials,54;
11:35:31.242 -> active,151,premature,31,836
11:35:31.471 -> active,152,rewards,15,836
11:35:31.883 -> active,153,rewards,15,837
11:35:36.358 -> active,154,rewards,15,841
11:35:38.152 -> active,155,rewards,15,843
11:35:41.286 -> pre-trials,55;
11:35:45.291 -> active,156,premature,32,850
11:35:49.439 -> inactive,78,854
11:35:53.118 -> active,157,rewards,15,858
11:35:55.330 -> pre-trials,56;
11:35:58.092 -> inactive,79,863
11:36:02.467 -> inactive,80,867
11:36:03.390 -> inactive,81,868
11:36:03.760 -> inactive,82,869
11:36:04.360 -> GO trials,24;
11:36:07.269 -> active,158,rewards,16,872
11:36:17.405 -> pre-trials,57;
11:36:18.831 -> active,159,premature,33,884
11:36:28.862 -> pre-trials,58;
11:36:36.423 -> inactive,83,901
11:36:37.897 -> GO trials,25;
11:36:42.921 -> omissions,9;
11:36:43.198 -> active,160,rewards,16,908
11:36:45.125 -> active,161,rewards,16,910
11:36:52.956 -> pre-trials,59;
11:36:56.131 -> inactive,84,921
11:36:58.988 -> GO trials,26;
11:37:03.999 -> omissions,10;
11:37:05.243 -> active,162,rewards,16,930
11:37:05.427 -> active,163,rewards,16,930
11:37:05.427 -> active,164,rewards,16,930
11:37:14.033 -> pre-trials,60;
11:37:15.873 -> active,165,premature,34,941
11:37:16.149 -> active,166,rewards,16,941
11:37:16.196 -> active,167,rewards,16,941
11:37:24.533 -> active,168,rewards,16,949
11:37:25.866 -> pre-trials,61;
11:37:27.890 -> inactive,85,953
11:37:28.165 -> inactive,86,953
11:37:30.928 -> active,169,premature,35,956
11:37:32.906 -> active,170,rewards,16,958
11:37:32.952 -> active,171,rewards,16,958
11:37:33.412 -> active,172,rewards,16,958
11:37:35.158 -> inactive,87,960
11:37:35.943 -> inactive,88,961
11:37:40.969 -> pre-trials,62;
11:37:46.088 -> inactive,89,971
11:37:47.425 -> inactive,90,972
11:37:50.008 -> GO trials,27;
11:37:51.156 -> inactive,91,976
11:37:51.710 -> inactive,92,976
11:37:54.110 -> inactive,93,979
11:37:54.478 -> inactive,94,979
11:37:55.031 -> omissions,11;
11:37:55.216 -> inactive,95,980
11:37:58.388 -> active,173,rewards,16,983
11:37:58.710 -> active,174,rewards,16,983
11:38:01.147 -> active,175,rewards,16,986
11:38:01.193 -> active,176,rewards,16,986
11:38:01.378 -> active,177,rewards,16,986
11:38:05.051 -> pre-trials,63;
11:38:08.557 -> inactive,96,993
11:38:08.695 -> inactive,97,993
11:38:11.045 -> GO trials,28;
11:38:11.367 -> active,178,rewards,17,996
11:38:21.494 -> pre-trials,64;
11:38:24.487 -> GO trials,29;
11:38:26.374 -> inactive,98,1011
11:38:26.466 -> inactive,99,1011
11:38:29.508 -> omissions,12;
11:38:36.554 -> inactive,100,1021
11:38:36.786 -> inactive,101,1021
11:38:39.539 -> pre-trials,65;
11:38:40.414 -> active,179,premature,36,1025
11:38:40.460 -> active,180,rewards,17,1025
11:38:40.552 -> active,181,rewards,17,1025
11:38:40.873 -> active,182,rewards,17,1025
11:38:40.919 -> active,183,rewards,17,1025
11:38:50.433 -> pre-trials,66;
11:38:54.951 -> active,184,premature,37,1039
11:38:56.842 -> active,185,rewards,17,1041
11:38:57.072 -> active,186,rewards,17,1042
11:38:58.495 -> active,187,rewards,17,1043
11:39:03.595 -> active,188,rewards,17,1048
11:39:04.982 -> pre-trials,67;
11:39:08.720 -> active,189,premature,38,1053
11:39:08.857 -> active,190,rewards,17,1053
11:39:10.194 -> active,191,rewards,17,1055
11:39:13.969 -> active,192,rewards,17,1058
11:39:18.716 -> pre-trials,68;
11:39:22.166 -> active,193,premature,39,1067
11:39:23.363 -> active,194,rewards,17,1068
11:39:23.500 -> active,195,rewards,17,1068
11:39:27.045 -> inactive,102,1071
11:39:27.965 -> inactive,103,1072
11:39:30.273 -> active,196,rewards,17,1075
11:39:32.205 -> pre-trials,69;
11:39:33.311 -> active,197,premature,40,1078
11:39:35.428 -> inactive,104,1080
11:39:39.941 -> active,198,rewards,17,1084
11:39:41.640 -> active,199,rewards,17,1086
11:39:43.348 -> pre-trials,70;
