107,0
2036,101911,0
2037,101961,0
2038,102011,0
2039,102062,0
2040,102112,0
2041,102161,0
2042,102211,0
2043,102261,0
2044,102311,0
2045,102362,0
2046,102412,0
2047,102462,0
2048,102513,0
2049,102561,0
2050,102612,0
2051,102662,0
2052,102712,0
2053,102763,0
2054,102812,0
2055,102863,0
2056,102912,0
2057,102962,0
2058,103012,0
2059,103062,0
2060,103112,0
2061,103162,0
2062,103212,0
2063,103263,0
2064,103312,0
2065,103363,0
2066,103413,0
2067,103462,0
2068,103512,0
2069,103562,0
2070,103613,0
2071,103662,0
2072,103712,0
2073,103763,0
2074,103812,0
2075,103863,0
2076,103913,0
2077,103963,0
2078,104013,0
2079,104063,0
2080,104113,0
2081,104162,0
2082,104213,0
2083,104263,0
2084,104313,0
2085,104363,0
2086,104412,0
2087,104463,0
2088,104513,0
2089,104563,0
2090,104613,0
2091,104663,0
2092,104713,0
2093,104763,0
2094,104814,0
2095,104863,0
2096,104913,0
2097,104963,0
2098,105014,0
2099,105064,0
2100,105114,0
2101,105164,0
2102,105213,0
2103,105263,0
2104,105314,0
2105,105364,0
2106,105414,0
2107,105464,0
2108,105514,0
2109,105563,0
2110,105614,0
2111,105663,0
2112,105714,0
2113,105764,0
2114,105814,0
2115,105864,0
2116,105914,0
2117,105964,0
2118,106014,0
2119,106064,0
2120,106114,0
2121,106164,0
2122,106214,0
2123,106264,0
2124,106314,0
2125,106365,0
2126,106414,0
2127,106467,0
2128,106516,0
2129,106565,0
2130,106615,0
2131,106664,0
2132,106715,0
2133,106765,0
2134,106816,0
2135,106865,0
2136,106915,0
2137,106965,0
2138,107016,0
2139,107064,0
2140,107115,0
2141,107165,0
2142,107215,0
2143,107265,0
2144,107315,0
2145,107366,0
2146,107415,0
2147,107465,0
2148,107515,0
2149,107565,0
2150,107616,0
2151,107665,0
2152,107715,0
2153,107765,0
2154,107815,0
2155,107866,0
2156,107915,0
2157,107965,0
2158,108015,0
2159,108065,0
2160,108115,0
2161,108165,0
2162,108215,0
2163,108265,0
2164,108316,0
2165,108366,0
2166,108417,0
2167,108466,0
2168,108515,0
2169,108566,0
2170,108616,0
2171,108665,0
2172,108716,0
2173,108766,0
2174,108816,0
2175,108866,0
2176,108915,0
2177,108965,0
2178,109017,0
2179,109067,0
2180,109116,0
2181,109166,0
2182,109217,0
2183,109266,0
2184,109316,0
2185,109366,0
2186,109417,0
2187,109466,0
2188,109517,0
2189,109567,0
2190,109617,0
2191,109666,0
2192,109716,0
2193,109766,0
2194,109817,0
2195,109868,0
2196,109917,0
2197,109967,0
2198,110017,0
2199,110066,0
2200,110116,0
2201,110167,0
2202,110218,0
2203,110267,0
2204,110317,0
2205,110367,0
2206,110418,0
2207,110467,0
2208,110517,0
2209,110567,0
2210,110617,0
2211,110667,0
2212,110717,0
2213,110767,0
2214,110817,0
2215,110868,0
2216,110918,0
2217,110967,0
2218,111018,0
2219,111068,0
2220,111118,0
2221,111167,0
2222,111218,0
2223,111268,0
2224,111318,0
2225,111368,0
2226,111419,0
2227,111469,0
2228,111518,0
2229,111568,0
2230,111618,0
2231,111668,0
2232,111718,0
2233,111768,0
2234,111819,0
2235,111868,0
2236,111919,0
2237,111967,0
2238,112019,0
2239,112068,0
2240,112118,0
2241,112169,0
2242,112219,0
2243,112268,0
2244,112319,0
2245,112368,0
2246,112419,0
2247,112468,0
2248,112518,0
2249,112570,0
2250,112618,0
2251,112668,0
